# ----------------------------------------
# Traffic acquisition: Session source / medium
# Account: www.netco.de
# Property: NetCo allgemein (GA4)
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20260131
Session source / medium,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
2316g25h44.bautvplus.de / referral,1,1,1,17,5,5,0,0,0
2317i24i34.bautvplus.de / referral,1,1,1,56,17,17,0,0,0
2318h25o56.bautvplus.de / referral,1,1,1,59,12,12,0,0,0
2613h25k37.bautvplus.de / referral,1,0,0,9,5,5,0,0,0
3216e25n03.bautvplus.de / referral,1,0,0,1,3,3,0,0,0
3217i25h15.bautvplus.de / referral,1,0,0,2,4,4,0,0,0
3427e25m43.bautvplus.de / referral,1,1,1,60,12,12,0,0,0
4008j24n49.bautvplus.de / referral,1,0,0,15,3,3,0,0,0
4018k24q04.bautvplus.de / referral,1,1,1,73,10,10,0,0,0
4110k25i15.bautvplus.de / referral,1,1,1,48,6,6,0,0,0
4814j24p38.bautvplus.de / referral,1,1,1,95,6,6,0,0,0
4922j25n10.bautvplus.de / referral,1,1,1,29,8,8,0,0,0
494a20bc8cbc2897887425452be0a4de.safeframe.googlesyndication.com / referral,1,0,0,2,4,4,0,0,0
5016f25n34.bautvplus.de / referral,1,0,0,0,2,2,0,0,0
508345061.keywordblocks.com / referral,1,1,1,18,5,5,0,0,0
5306e24j43.webcam-profi.de / referral,1,0,0,0,2,2,0,0,0
5318i25h27.bautvplus.de / referral,1,0,0,0,4,4,0,0,0
5609d24k49.webcam-profi.de / referral,1,0,0,6,3,3,0,0,0
5613f25n44.bautvplus.de / referral,1,1,1,166,10,10,0,0,0
569674110.keywordblocks.com / referral,1,1,1,31,5,5,0,0,0
5926i25m33.bautvplus.de / referral,1,1,1,49,14,14,0,0,0
9241c219c2831fdb6acefbd3e39af310.safeframe.googlesyndication.com / referral,1,0,0,0,4,4,0,0,0
CleverReach / Newsletter,1,0,0,0,2,2,0,0,0
adfs.berrang.de / referral,1,1,1,45,5,5,0,0,0
afterdarkmode.net / referral,1,1,1,74,8,8,0,0,0
altium.lightning.force.com / referral,1,1,1,8,5,5,0,0,0
apps.apple.com / referral,1,1,1,49,8,8,1,1,0
audi-dresden.webcam-profi.de / referral,1,1,1,79,32,32,0,0,0
axis.lightning.force.com / referral,1,1,1,19,8,8,0,0,0
